time,value
2024-09-27T12:59:21.387242546Z,22.5625
2024-09-27T12:59:32.646942454Z,22.625
2024-09-27T12:59:47.767251736Z,22.625
2024-09-27T12:59:55.180171707Z,22.625
2024-09-27T13:00:08.799337771Z,22.5625
2024-09-27T13:00:17.679898035Z,22.625
2024-09-27T13:00:28.939390209Z,22.5625
2024-09-27T13:00:40.183972992Z,22.5625
2024-09-27T13:00:51.430139524Z,23.125
2024-09-27T13:01:11.030498619Z,27.1875
2024-09-27T13:01:13.950550702Z,28.375
2024-09-27T13:01:25.207388519Z,27.8125
2024-09-27T13:01:36.450669513Z,27.375
2024-09-27T13:01:47.710616772Z,27.0625
2024-09-27T13:01:58.991010998Z,26.8125
2024-09-27T13:02:10.22234417Z,26.5625
2024-09-27T13:02:21.482329829Z,26.375
2024-09-27T13:02:32.76016907Z,26.125
2024-09-27T13:02:45.770332079Z,25.9375
2024-09-27T13:02:55.282865146Z,25.75
2024-09-27T13:03:06.502389037Z,25.625
2024-09-27T13:03:17.792048597Z,25.4375
2024-09-27T13:03:29.002499728Z,25.3125
2024-09-27T13:03:40.273411247Z,25.1875
2024-09-27T13:03:51.536171101Z,25.0625
2024-09-27T13:04:02.77622864Z,24.875
2024-09-27T13:04:14.032870242Z,24.75
2024-09-27T13:04:25.312384107Z,24.6875
2024-09-27T13:04:36.553139017Z,24.625
2024-09-27T13:04:47.799466374Z,24.5
2024-09-27T13:04:59.04633225Z,24.4375
2024-09-27T13:05:10.331583397Z,24.3125
2024-09-27T13:05:21.563158567Z,24.25
2024-09-27T13:05:32.811453317Z,24.1875
2024-09-27T13:05:44.099214553Z,24.125
2024-09-27T13:05:55.340621927Z,24.0625
2024-09-27T13:06:06.573033063Z,24
2024-09-27T13:06:17.848051228Z,23.9375
2024-09-27T13:06:29.092679878Z,23.875
2024-09-27T13:06:40.326287935Z,23.875
2024-09-27T13:06:51.593012658Z,23.8125
2024-09-27T13:07:02.863769214Z,23.8125
2024-09-27T13:07:14.119907386Z,23.75
2024-09-27T13:07:25.367833107Z,23.6875
2024-09-27T13:07:36.617137501Z,23.625
2024-09-27T13:07:47.84762318Z,23.5625
2024-09-27T13:07:59.12899013Z,23.5625
2024-09-27T13:08:10.385554392Z,23.5625
